image_id,image_path,bbox_left,bbox_top,bbox_width,bbox_height,score,object_category
0000162_01058_d_0000001,D:\Projects\enemy_detection_project\data\images\0000162_01058_d_0000001.jpg,166.0,285.0,47.0,47.0,1.0,6
0000001_03999_d_0000007,D:\Projects\enemy_detection_project\data\images\0000001_03999_d_0000007.jpg,1398.0,486.0,33.0,24.0,1.0,10
0000215_00000_d_0000256,D:\Projects\enemy_detection_project\data\images\0000215_00000_d_0000256.jpg,99.0,134.0,7.0,16.0,1.0,1
0000116_00351_d_0000083,D:\Projects\enemy_detection_project\data\images\0000116_00351_d_0000083.jpg,126.0,270.0,8.0,22.0,1.0,1
0000242_02400_d_0000009,D:\Projects\enemy_detection_project\data\images\0000242_02400_d_0000009.jpg,196.0,141.0,8.0,16.0,1.0,1
0000291_03401_d_0000885,D:\Projects\enemy_detection_project\data\images\0000291_03401_d_0000885.jpg,1028.0,90.0,80.0,58.0,1.0,5
0000330_00801_d_0000804,D:\Projects\enemy_detection_project\data\images\0000330_00801_d_0000804.jpg,621.0,108.0,11.0,11.0,1.0,10
0000295_02400_d_0000033,D:\Projects\enemy_detection_project\data\images\0000295_02400_d_0000033.jpg,477.0,330.0,22.0,20.0,1.0,4
0000356_04313_d_0000651,D:\Projects\enemy_detection_project\data\images\0000356_04313_d_0000651.jpg,1097.0,238.0,15.0,18.0,1.0,10
0000289_05001_d_0000836,D:\Projects\enemy_detection_project\data\images\0000289_05001_d_0000836.jpg,955.0,613.0,71.0,45.0,1.0,3
0000313_06401_d_0000468,D:\Projects\enemy_detection_project\data\images\0000313_06401_d_0000468.jpg,718.0,521.0,9.0,13.0,1.0,10
0000356_05097_d_0000655,D:\Projects\enemy_detection_project\data\images\0000356_05097_d_0000655.jpg,423.0,46.0,16.0,15.0,1.0,4
0000327_03401_d_0000728,D:\Projects\enemy_detection_project\data\images\0000327_03401_d_0000728.jpg,610.0,127.0,15.0,13.0,1.0,4
0000335_02745_d_0000057,D:\Projects\enemy_detection_project\data\images\0000335_02745_d_0000057.jpg,636.0,63.0,4.0,6.0,1.0,2
0000360_07645_d_0000752,D:\Projects\enemy_detection_project\data\images\0000360_07645_d_0000752.jpg,665.0,45.0,62.0,73.0,1.0,4
0000301_00201_d_0000157,D:\Projects\enemy_detection_project\data\images\0000301_00201_d_0000157.jpg,1334.0,705.0,26.0,49.0,1.0,2
0000271_06201_d_0000403,D:\Projects\enemy_detection_project\data\images\0000271_06201_d_0000403.jpg,780.0,70.0,50.0,19.0,1.0,4
0000193_02606_d_0000117,D:\Projects\enemy_detection_project\data\images\0000193_02606_d_0000117.jpg,496.0,241.0,9.0,15.0,1.0,10
0000327_04201_d_0000732,D:\Projects\enemy_detection_project\data\images\0000327_04201_d_0000732.jpg,466.0,113.0,19.0,26.0,1.0,9
0000213_02965_d_0000241,D:\Projects\enemy_detection_project\data\images\0000213_02965_d_0000241.jpg,871.0,251.0,7.0,29.0,1.0,1
0000333_02549_d_0000014,D:\Projects\enemy_detection_project\data\images\0000333_02549_d_0000014.jpg,614.0,423.0,8.0,16.0,1.0,10
0000269_00001_d_0000348,D:\Projects\enemy_detection_project\data\images\0000269_00001_d_0000348.jpg,582.0,180.0,4.0,5.0,1.0,7
0000291_00601_d_0000871,D:\Projects\enemy_detection_project\data\images\0000291_00601_d_0000871.jpg,809.0,192.0,54.0,47.0,0.0,0
0000116_01059_d_0000085,D:\Projects\enemy_detection_project\data\images\0000116_01059_d_0000085.jpg,380.0,331.0,10.0,20.0,1.0,10
0000289_01201_d_0000817,D:\Projects\enemy_detection_project\data\images\0000289_01201_d_0000817.jpg,670.0,33.0,26.0,37.0,1.0,5
0000312_02201_d_0000425,D:\Projects\enemy_detection_project\data\images\0000312_02201_d_0000425.jpg,714.0,461.0,47.0,61.0,1.0,4
0000335_04313_d_0000065,D:\Projects\enemy_detection_project\data\images\0000335_04313_d_0000065.jpg,854.0,202.0,57.0,49.0,1.0,4
0000291_01201_d_0000874,D:\Projects\enemy_detection_project\data\images\0000291_01201_d_0000874.jpg,34.0,84.0,30.0,33.0,1.0,5
0000295_01800_d_0000030,D:\Projects\enemy_detection_project\data\images\0000295_01800_d_0000030.jpg,726.0,380.0,22.0,21.0,1.0,4
0000129_02411_d_0000138,D:\Projects\enemy_detection_project\data\images\0000129_02411_d_0000138.jpg,1694.0,594.0,36.0,59.0,1.0,5
0000327_02801_d_0000725,D:\Projects\enemy_detection_project\data\images\0000327_02801_d_0000725.jpg,683.0,77.0,9.0,22.0,1.0,1
0000069_00001_d_0000001,D:\Projects\enemy_detection_project\data\images\0000069_00001_d_0000001.jpg,752.0,401.0,50.0,75.0,1.0,2
0000333_03529_d_0000019,D:\Projects\enemy_detection_project\data\images\0000333_03529_d_0000019.jpg,807.0,61.0,47.0,25.0,1.0,4
0000291_05201_d_0000893,D:\Projects\enemy_detection_project\data\images\0000291_05201_d_0000893.jpg,492.0,179.0,36.0,37.0,1.0,5
0000330_01001_d_0000805,D:\Projects\enemy_detection_project\data\images\0000330_01001_d_0000805.jpg,517.0,205.0,27.0,36.0,1.0,4
0000291_02601_d_0000881,D:\Projects\enemy_detection_project\data\images\0000291_02601_d_0000881.jpg,926.0,410.0,19.0,56.0,1.0,1
0000296_01001_d_0000040,D:\Projects\enemy_detection_project\data\images\0000296_01001_d_0000040.jpg,549.0,220.0,26.0,21.0,1.0,4
0000312_01201_d_0000420,D:\Projects\enemy_detection_project\data\images\0000312_01201_d_0000420.jpg,597.0,316.0,79.0,63.0,1.0,4
0000312_00201_d_0000415,D:\Projects\enemy_detection_project\data\images\0000312_00201_d_0000415.jpg,491.0,134.0,10.0,26.0,1.0,1
0000295_01000_d_0000026,D:\Projects\enemy_detection_project\data\images\0000295_01000_d_0000026.jpg,420.0,350.0,10.0,21.0,1.0,1
0000249_03900_d_0000011,D:\Projects\enemy_detection_project\data\images\0000249_03900_d_0000011.jpg,98.0,439.0,36.0,24.0,1.0,10
0000330_04201_d_0000821,D:\Projects\enemy_detection_project\data\images\0000330_04201_d_0000821.jpg,654.0,0.0,40.0,16.0,1.0,4
0000249_01635_d_0000006,D:\Projects\enemy_detection_project\data\images\0000249_01635_d_0000006.jpg,726.0,388.0,9.0,14.0,1.0,2
0000256_02173_d_0000030,D:\Projects\enemy_detection_project\data\images\0000256_02173_d_0000030.jpg,153.0,0.0,80.0,19.0,1.0,6
0000271_06001_d_0000402,D:\Projects\enemy_detection_project\data\images\0000271_06001_d_0000402.jpg,815.0,83.0,24.0,19.0,1.0,4
0000194_00399_d_0000121,D:\Projects\enemy_detection_project\data\images\0000194_00399_d_0000121.jpg,43.0,211.0,5.0,10.0,1.0,2
0000277_05001_d_0000562,D:\Projects\enemy_detection_project\data\images\0000277_05001_d_0000562.jpg,466.0,350.0,18.0,49.0,1.0,1
0000287_01801_d_0000768,D:\Projects\enemy_detection_project\data\images\0000287_01801_d_0000768.jpg,356.0,348.0,34.0,17.0,1.0,4
0000280_03001_d_0000627,D:\Projects\enemy_detection_project\data\images\0000280_03001_d_0000627.jpg,440.0,569.0,28.0,55.0,1.0,2
0000289_04801_d_0000835,D:\Projects\enemy_detection_project\data\images\0000289_04801_d_0000835.jpg,538.0,0.0,58.0,14.0,1.0,4
0000277_03601_d_0000556,D:\Projects\enemy_detection_project\data\images\0000277_03601_d_0000556.jpg,763.0,119.0,91.0,107.0,0.0,0
0000360_06273_d_0000745,D:\Projects\enemy_detection_project\data\images\0000360_06273_d_0000745.jpg,879.0,330.0,26.0,38.0,1.0,3
0000289_03801_d_0000830,D:\Projects\enemy_detection_project\data\images\0000289_03801_d_0000830.jpg,1165.0,129.0,55.0,32.0,1.0,4
0000026_00500_d_0000025,D:\Projects\enemy_detection_project\data\images\0000026_00500_d_0000025.jpg,88.0,181.0,98.0,149.0,1.0,4
0000280_00201_d_0000613,D:\Projects\enemy_detection_project\data\images\0000280_00201_d_0000613.jpg,1158.0,419.0,65.0,79.0,1.0,4
0000276_03801_d_0000526,D:\Projects\enemy_detection_project\data\images\0000276_03801_d_0000526.jpg,296.0,609.0,69.0,77.0,1.0,4
0000271_06401_d_0000404,D:\Projects\enemy_detection_project\data\images\0000271_06401_d_0000404.jpg,1061.0,508.0,88.0,102.0,1.0,4
0000293_03601_d_0000940,D:\Projects\enemy_detection_project\data\images\0000293_03601_d_0000940.jpg,609.0,190.0,11.0,8.0,1.0,4
0000213_04405_d_0000244,D:\Projects\enemy_detection_project\data\images\0000213_04405_d_0000244.jpg,840.0,416.0,134.0,161.0,1.0,6
0000327_01001_d_0000716,D:\Projects\enemy_detection_project\data\images\0000327_01001_d_0000716.jpg,915.0,243.0,26.0,15.0,1.0,10
0000280_01601_d_0000620,D:\Projects\enemy_detection_project\data\images\0000280_01601_d_0000620.jpg,669.0,172.0,12.0,14.0,1.0,4
0000287_01601_d_0000767,D:\Projects\enemy_detection_project\data\images\0000287_01601_d_0000767.jpg,399.0,526.0,77.0,51.0,1.0,4
0000300_03201_d_0000154,D:\Projects\enemy_detection_project\data\images\0000300_03201_d_0000154.jpg,977.0,444.0,75.0,59.0,1.0,4
0000300_03201_d_0000154,D:\Projects\enemy_detection_project\data\images\0000300_03201_d_0000154.jpg,557.0,171.0,18.0,15.0,1.0,4
0000026_03500_d_0000031,D:\Projects\enemy_detection_project\data\images\0000026_03500_d_0000031.jpg,441.0,201.0,172.0,76.0,1.0,4
0000287_00201_d_0000760,D:\Projects\enemy_detection_project\data\images\0000287_00201_d_0000760.jpg,702.0,101.0,16.0,15.0,1.0,4
0000287_03401_d_0000776,D:\Projects\enemy_detection_project\data\images\0000287_03401_d_0000776.jpg,950.0,113.0,16.0,17.0,1.0,10
